,Year,Activity_Type,Activity_Type_Chapter,Percentage_Value_per_Year
0,2011,CPT,Urinary System,0.78
1,2011,CPT,Respiratory System,1.01
2,2011,CPT,Radiology,3.02
3,2011,CPT,Radiologic Guidance,0.0
4,2011,CPT,Radiation Oncology,0.46
5,2011,CPT,Pathology & Laboratory,32.83
6,2011,CPT,Operating Microscope,0.0
7,2011,CPT,Nuclear Medicine,1.15
8,2011,CPT,Nervous System,0.19
9,2011,CPT,,0.05
10,2011,CPT,Musculoskeletal,1.61
11,2011,CPT,Mediastinum & Diaphragm,0.0
12,2011,CPT,Maternity Care & Delivery,1.93
13,2011,CPT,Male Genital System,0.14
14,2011,CPT,Integumentary,0.99
15,2011,CPT,Hemic & Lymphatic Systems,0.01
16,2011,CPT,General,0.02
17,2011,CPT,Female Genital System,0.31
18,2011,CPT,Eye & Ocular Adnexa,0.82
19,2011,CPT,Evaluation & Management,5.7
20,2011,CPT,Endocrine System,0.04
21,2011,CPT,Digestive System,1.81
22,2011,CPT,Diagnostic Ultrasound,3.81
23,2011,CPT,Cardiovascular System,0.49
24,2011,CPT,Breast Mammography,0.05
25,2011,CPT,Bone/Joint Studies,0.06
26,2011,CPT,Auditory System,0.28
27,2011,CPT,Anesthesia,0.02
28,2011,Dental,Unclassified Treatments,0.0
29,2011,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.0
30,2011,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.0
31,2011,Dental,Surgical Incisions,0.0
32,2011,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.0
33,2011,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.0
34,2011,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.12
35,2011,Dental,"Restorative Services, Other",0.0
36,2011,Dental,"Restorative Procedures, Overdentures",0.0
37,2011,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.35
38,2011,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.02
39,2011,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.04
40,2011,Dental,"Restorations, Amalgam",0.01
41,2011,Dental,Restoration,0.03
42,2011,Dental,Repairs,0.0
43,2011,Dental,"Removals, (Extractions), Surgical",0.07
44,2011,Dental,"Removals, (Extractions), Erupted Teeth",0.06
45,2011,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.0
46,2011,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.0
47,2011,Dental,"Radiographs, Specialty Use Only",0.0
48,2011,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.06
49,2011,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.07
50,2011,Dental,Professional Services,0.07
51,2011,Dental,"Preventive Services, Other",0.06
52,2011,Dental,"Pontics, Bridge",0.03
53,2011,Dental,Polishing,0.09
54,2011,Dental,Permanent Dentition,0.05
55,2011,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.05
56,2011,Dental,"Periodontal Services, Non Surgical",0.0
57,2011,Dental,"Periodontal Services, Miscellaneous",0.0
58,2011,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01
59,2011,Dental,Periapical Services,0.0
60,2011,Dental,"Orthodontic Services, Miscellaneous",0.01
61,2011,Dental,"Oral Surgery Procedures, Other",0.09
62,2011,Dental,Mixed Dentition,0.0
63,2011,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.03
64,2011,Dental,"Maxillofacial Deformities, Treatment Of",0.0
65,2011,Dental,Master Cast Techniques,0.0
66,2011,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.03
67,2011,Dental,"Fractures, Treatment Of",0.0
68,2011,Dental,"Fixed Prosthetics, Other Services",0.0
69,2011,Dental,Fixed Bridge Retainers,0.05
70,2011,Dental,"Examination And Diagnosis, Clinical Oral",0.13
71,2011,Dental,"Endodontic, Procedures, Miscellaneous",0.01
72,2011,Dental,"Drugs/Medication, Dispensing",0.0
73,2011,Dental,"Dentures, Replication, Relining And Rebasing",0.0
74,2011,Dental,"Dentures, Repairs/Additions",0.0
75,2011,Dental,"Dentures, Partial, Cast With Acrylic Base",0.0
76,2011,Dental,"Dentures, Partial, Acrylic",0.01
77,2011,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.0
78,2011,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.0
