Year,Activity Type,Activity Type Chapter,% Value per Year
2011,CPT,Urinary System,0.78%
2011,CPT,Respiratory System,1.01%
2011,CPT,Radiology,3.02%
2011,CPT,Radiologic Guidance,0.00%
2011,CPT,Radiation Oncology,0.46%
2011,CPT,Pathology & Laboratory,32.83%
2011,CPT,Operating Microscope,0.00%
2011,CPT,Nuclear Medicine,1.15%
2011,CPT,Nervous System,0.19%
2011,CPT,N/A,0.05%
2011,CPT,Musculoskeletal,1.61%
2011,CPT,Mediastinum & Diaphragm,0.00%
2011,CPT,Maternity Care & Delivery,1.93%
2011,CPT,Male Genital System,0.14%
2011,CPT,Integumentary,0.99%
2011,CPT,Hemic & Lymphatic Systems,0.01%
2011,CPT,General,0.02%
2011,CPT,Female Genital System,0.31%
2011,CPT,Eye & Ocular Adnexa,0.82%
2011,CPT,Evaluation & Management,5.70%
2011,CPT,Endocrine System,0.04%
2011,CPT,Digestive System,1.81%
2011,CPT,Diagnostic Ultrasound,3.81%
2011,CPT,Cardiovascular System,0.49%
2011,CPT,Breast Mammography,0.05%
2011,CPT,Bone/Joint Studies,0.06%
2011,CPT,Auditory System,0.28%
2011,CPT,Anesthesia,0.02%
2011,Dental,Unclassified Treatments,0.00%
2011,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.00%
2011,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.00%
2011,Dental,Surgical Incisions,0.00%
2011,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.00%
2011,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.00%
2011,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.12%
2011,Dental,"Restorative Services, Other",0.00%
2011,Dental,"Restorative Procedures, Overdentures",0.00%
2011,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.35%
2011,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.02%
2011,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.04%
2011,Dental,"Restorations, Amalgam",0.01%
2011,Dental,Restoration,0.03%
2011,Dental,Repairs,0.00%
2011,Dental,"Removals, (Extractions), Surgical",0.07%
2011,Dental,"Removals, (Extractions), Erupted Teeth",0.06%
2011,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.00%
2011,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.00%
2011,Dental,"Radiographs, Specialty Use Only",0.00%
2011,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.06%
2011,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.07%
2011,Dental,Professional Services,0.07%
2011,Dental,"Preventive Services, Other",0.06%
2011,Dental,"Pontics, Bridge",0.03%
2011,Dental,Polishing,0.09%
2011,Dental,Permanent Dentition,0.05%
2011,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.05%
2011,Dental,"Periodontal Services, Non Surgical",0.00%
2011,Dental,"Periodontal Services, Miscellaneous",0.00%
2011,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01%
2011,Dental,Periapical Services,0.00%
2011,Dental,"Orthodontic Services, Miscellaneous",0.01%
2011,Dental,"Oral Surgery Procedures, Other",0.09%
2011,Dental,Mixed Dentition,0.00%
2011,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.03%
2011,Dental,"Maxillofacial Deformities, Treatment Of",0.00%
2011,Dental,Master Cast Techniques,0.00%
2011,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.03%
2011,Dental,"Fractures, Treatment Of",0.00%
2011,Dental,"Fixed Prosthetics, Other Services",0.00%
2011,Dental,Fixed Bridge Retainers,0.05%
2011,Dental,"Examination And Diagnosis, Clinical Oral",0.13%
2011,Dental,"Endodontic, Procedures, Miscellaneous",0.01%
2011,Dental,"Drugs/Medication, Dispensing",0.00%
2011,Dental,"Dentures, Replication, Relining And Rebasing",0.00%
2011,Dental,"Dentures, Repairs/Additions",0.00%
2011,Dental,"Dentures, Partial, Cast With Acrylic Base",0.00%
