Year,Nationality,Gender,Age Group,Cancer site,Count
2011,Expatriate,Female,10-14,Other Cancer,2
2011,Expatriate,Female,10-14,"Kidney, renal pelvis and ureter",1
2011,Expatriate,Female,20-24,Breast,1
2011,Expatriate,Female,30-34,Stomach,1
2011,Expatriate,Female,30-34,Leukaemia,2
2011,Expatriate,Female,30-34,Breast,1
2011,Expatriate,Female,35-39,Stomach,1
2011,Expatriate,Female,35-39,Ovary,1
2011,Expatriate,Female,35-39,Other Cancer,2
2011,Expatriate,Female,35-39,Colorectum,2
2011,Expatriate,Female,35-39,Cervix uteri,1
2011,Expatriate,Female,35-39,Breast,5
2011,Expatriate,Female,40-44,"Trachea, bronchus and lung",1
2011,Expatriate,Female,40-44,Oesophagus,1
2011,Expatriate,Female,40-44,Leukaemia,3
2011,Expatriate,Female,40-44,Colorectum,1
2011,Expatriate,Female,40-44,Breast,3
2011,Expatriate,Female,45-49,Stomach,2
2011,Expatriate,Female,45-49,Other Cancer,1
2011,Expatriate,Female,45-49,Leukaemia,1
2011,Expatriate,Female,45-49,Colorectum,2
2011,Expatriate,Female,45-49,Breast,9
2011,Expatriate,Female,50-54,"Trachea, bronchus and lung",1
2011,Expatriate,Female,50-54,Stomach,2
2011,Expatriate,Female,50-54,Leukaemia,1
2011,Expatriate,Female,50-54,Colorectum,1
2011,Expatriate,Female,50-54,Cervix uteri,1
2011,Expatriate,Female,50-54,Breast,4
2011,Expatriate,Female,55-59,Stomach,1
2011,Expatriate,Female,55-59,Pancreas,1
2011,Expatriate,Female,55-59,Other pharynx,2
2011,Expatriate,Female,55-59,Other Cancer,1
2011,Expatriate,Female,55-59,Oesophagus,1
2011,Expatriate,Female,55-59,Melanoma of skin,1
2011,Expatriate,Female,55-59,Lymphoma,1
2011,Expatriate,Female,55-59,"Kidney, renal pelvis and ureter",1
2011,Expatriate,Female,55-59,Breast,3
2011,Expatriate,Female,60-64,"Trachea, bronchus and lung",1
2011,Expatriate,Female,60-64,Pancreas,1
2011,Expatriate,Female,60-64,Other pharynx,1
2011,Expatriate,Female,60-64,Other Cancer,2
2011,Expatriate,Female,60-64,Lymphoma,1
2011,Expatriate,Female,60-64,Liver and intrahepatic bile ducts,1
2011,Expatriate,Female,60-64,Leukaemia,1
2011,Expatriate,Female,60-64,Colorectum,1
2011,Expatriate,Female,60-64,Breast,2
2011,Expatriate,Female,60-64,"Brain, nervous system",1
2011,Expatriate,Female,65-69,"Trachea, bronchus and lung",1
2011,Expatriate,Female,65-69,Ovary,1
2011,Expatriate,Female,65-69,Other Cancer,2
2011,Expatriate,Female,65-69,Leukaemia,1
2011,Expatriate,Female,65-69,Colorectum,3
2011,Expatriate,Female,65-69,Cervix uteri,1
2011,Expatriate,Female,65-69,Breast,3
2011,Expatriate,Female,70-74,"Trachea, bronchus and lung",1
2011,Expatriate,Female,70-74,Pancreas,4
2011,Expatriate,Female,70-74,Leukaemia,2
2011,Expatriate,Female,70-74,Cervix uteri,1
2011,Expatriate,Female,75-79,Ovary,1
2011,Expatriate,Female,75-79,Other pharynx,1
2011,Expatriate,Female,75-79,Liver and intrahepatic bile ducts,1
2011,Expatriate,Female,75-79,Colorectum,1
2011,Expatriate,Female,80-84,Stomach,1
2011,Expatriate,Female,80-84,Pancreas,1
2011,Expatriate,Female,80-84,Liver and intrahepatic bile ducts,2
2011,Expatriate,Female,80-84,Leukaemia,1
2011,Expatriate,Female,80-84,Gallbladder and extrahepatic ducts,1
2011,Expatriate,Female,80-84,Corpus uteri,1
