Year,Nationality,Gender,Cancer Site,Incidents
2012,Expatriates,Female,Thyroid Gland,31
2012,Expatriates,Female,Stomach,18
2012,Expatriates,Female,Prostate Gland,0
2012,Expatriates,Female,Pancreas,10
2012,Expatriates,Female,Ovary,28
2012,Expatriates,Female,Other Sites,64
2012,Expatriates,Female,Lymph Nodes,30
2012,Expatriates,Female,Hematopoietic And Reticuloendothelial Systems,54
2012,Expatriates,Female,Corpus Uteri,26
2012,Expatriates,Female,Colorectal,39
2012,Expatriates,Female,Cervix Uteri,25
2012,Expatriates,Female,Bronchus And Lung,7
2012,Expatriates,Female,Breast (Excludes Skin Of Breast C44.5),277
2012,Expatriates,Female,Brain,12
2012,Expatriates,Female,Bladder,3
2012,Expatriates,Male,Thyroid Gland,21
2012,Expatriates,Male,Stomach,17
2012,Expatriates,Male,Prostate Gland,45
2012,Expatriates,Male,Pancreas,17
2012,Expatriates,Male,Ovary,0
2012,Expatriates,Male,Other Sites,167
2012,Expatriates,Male,Lymph Nodes,50
2012,Expatriates,Male,Hematopoietic And Reticuloendothelial Systems,132
2012,Expatriates,Male,Corpus Uteri,0
2012,Expatriates,Male,Colorectal,79
2012,Expatriates,Male,Cervix Uteri,0
2012,Expatriates,Male,Bronchus And Lung,32
2012,Expatriates,Male,Breast (Excludes Skin Of Breast C44.5),4
2012,Expatriates,Male,Brain,26
2012,Expatriates,Male,Bladder,34
2012,Nationals,Female,Thyroid Gland,24
2012,Nationals,Female,Stomach,8
2012,Nationals,Female,Prostate Gland,0
2012,Nationals,Female,Pancreas,2
2012,Nationals,Female,Ovary,9
2012,Nationals,Female,Other Sites,33
2012,Nationals,Female,Lymph Nodes,18
2012,Nationals,Female,Hematopoietic And Reticuloendothelial Systems,46
2012,Nationals,Female,Corpus Uteri,21
2012,Nationals,Female,Colorectal,25
2012,Nationals,Female,Cervix Uteri,6
2012,Nationals,Female,Bronchus And Lung,3
2012,Nationals,Female,Breast (Excludes Skin Of Breast C44.5),99
2012,Nationals,Female,Brain,5
2012,Nationals,Female,Bladder,1
2012,Nationals,Male,Thyroid Gland,2
2012,Nationals,Male,Stomach,7
2012,Nationals,Male,Prostate Gland,11
2012,Nationals,Male,Pancreas,3
2012,Nationals,Male,Ovary,0
2012,Nationals,Male,Other Sites,38
2012,Nationals,Male,Lymph Nodes,26
2012,Nationals,Male,Hematopoietic And Reticuloendothelial Systems,55
2012,Nationals,Male,Corpus Uteri,0
2012,Nationals,Male,Colorectal,14
2012,Nationals,Male,Cervix Uteri,0
2012,Nationals,Male,Bronchus And Lung,11
2012,Nationals,Male,Breast (Excludes Skin Of Breast C44.5),0
2012,Nationals,Male,Brain,4
2012,Nationals,Male,Bladder,10
2013,Expatriates,Female,Vulva,1
2013,Expatriates,Female,Uterus,2
2013,Expatriates,Female,Unknown Primary Site,5
2013,Expatriates,Female,Tonsil,0
2013,Expatriates,Female,Tongue,3
2013,Expatriates,Female,Thyroid Gland,59
2013,Expatriates,Female,Testis,0
2013,Expatriates,Female,Stomach,11
2013,Expatriates,Female,Soft Tissues,5
2013,Expatriates,Female,Small Intestine,2
2013,Expatriates,Female,Skin,21
2013,Expatriates,Female,Salivary Gland,0
2013,Expatriates,Female,Retroperitoneum And Peritoneum,3
2013,Expatriates,Female,Renal Pelvis,0
2013,Expatriates,Female,Prostate Gland,0
2013,Expatriates,Female,Placenta,2
2013,Expatriates,Female,Pharynx,0
2013,Expatriates,Female,Parotid Gland,0
2013,Expatriates,Female,Pancreas,3
2013,Expatriates,Female,Ovary,25
2013,Expatriates,Female,Oropharynx,1
2013,Expatriates,Female,Nervous System,0
2013,Expatriates,Female,Nasopharynx,3
2013,Expatriates,Female,Nasal Cavity,1
2013,Expatriates,Female,Mouth,2
2013,Expatriates,Female,Lymph Nodes,16
2013,Expatriates,Female,Liver,11
2013,Expatriates,Female,Lip,0
2013,Expatriates,Female,Leukemia,38
2013,Expatriates,Female,Larynx,1
2013,Expatriates,Female,Kidney,12
2013,Expatriates,Female,Ill Defined Sites,0
2013,Expatriates,Female,Hypopharynx,1
2013,Expatriates,Female,Heart,0
2013,Expatriates,Female,Gallbladder,1
2013,Expatriates,Female,Female Genital Tract,1
2013,Expatriates,Female,Eye,3
2013,Expatriates,Female,Esophagus,2
2013,Expatriates,Female,Corpus Uteri,24
2013,Expatriates,Female,Colorectal,44
2013,Expatriates,Female,Cervix Uteri,37
2013,Expatriates,Female,Bronchus And Lung,16
2013,Expatriates,Female,Breast,201
2013,Expatriates,Female,Brain,4
2013,Expatriates,Female,Bowel,0
2013,Expatriates,Female,Bones,2
2013,Expatriates,Female,Bladder,3
2013,Expatriates,Female,Biliary Tract,2
2013,Expatriates,Female,Autonomic Nervous System,1
2013,Expatriates,Female,Adrenal Gland,1
2013,Expatriates,Male,Vulva,0
2013,Expatriates,Male,Uterus,0
2013,Expatriates,Male,Unknown Primary Site,6
2013,Expatriates,Male,Tonsil,4
2013,Expatriates,Male,Tongue,10
2013,Expatriates,Male,Thyroid Gland,41
2013,Expatriates,Male,Testis,13
2013,Expatriates,Male,Stomach,25
2013,Expatriates,Male,Soft Tissues,7
2013,Expatriates,Male,Small Intestine,8
2013,Expatriates,Male,Skin,29
2013,Expatriates,Male,Salivary Gland,3
2013,Expatriates,Male,Retroperitoneum And Peritoneum,2
2013,Expatriates,Male,Renal Pelvis,0
2013,Expatriates,Male,Prostate Gland,53
2013,Expatriates,Male,Placenta,0
2013,Expatriates,Male,Pharynx,1
2013,Expatriates,Male,Parotid Gland,4
2013,Expatriates,Male,Pancreas,14
2013,Expatriates,Male,Ovary,0
2013,Expatriates,Male,Oropharynx,0
2013,Expatriates,Male,Nervous System,2
2013,Expatriates,Male,Nasopharynx,9
2013,Expatriates,Male,Nasal Cavity,1
2013,Expatriates,Male,Mouth,7
2013,Expatriates,Male,Lymph Nodes,54
2013,Expatriates,Male,Liver,22
2013,Expatriates,Male,Lip,1
2013,Expatriates,Male,Leukemia,77
2013,Expatriates,Male,Larynx,7
2013,Expatriates,Male,Kidney,20
2013,Expatriates,Male,Ill Defined Sites,1
2013,Expatriates,Male,Hypopharynx,2
2013,Expatriates,Male,Heart,1
2013,Expatriates,Male,Gallbladder,2
2013,Expatriates,Male,Female Genital Tract,0
2013,Expatriates,Male,Eye,1
2013,Expatriates,Male,Esophagus,9
2013,Expatriates,Male,Corpus Uteri,0
2013,Expatriates,Male,Colorectal,88
2013,Expatriates,Male,Cervix Uteri,0
2013,Expatriates,Male,Bronchus And Lung,44
2013,Expatriates,Male,Breast,5
2013,Expatriates,Male,Brain,32
2013,Expatriates,Male,Bowel,2
2013,Expatriates,Male,Bones,4
2013,Expatriates,Male,Bladder,28
2013,Expatriates,Male,Biliary Tract,3
2013,Expatriates,Male,Autonomic Nervous System,0
2013,Expatriates,Male,Adrenal Gland,1
2013,Nationals,Female,Vulva,0
2013,Nationals,Female,Uterus,0
2013,Nationals,Female,Unknown Primary Site,5
2013,Nationals,Female,Tonsil,0
2013,Nationals,Female,Tongue,1
2013,Nationals,Female,Thyroid Gland,31
2013,Nationals,Female,Testis,0
2013,Nationals,Female,Stomach,3
2013,Nationals,Female,Soft Tissues,2
2013,Nationals,Female,Small Intestine,1
2013,Nationals,Female,Skin,5
2013,Nationals,Female,Salivary Gland,0
2013,Nationals,Female,Retroperitoneum And Peritoneum,0
2013,Nationals,Female,Renal Pelvis,1
2013,Nationals,Female,Prostate Gland,0
2013,Nationals,Female,Placenta,0
2013,Nationals,Female,Pharynx,0
2013,Nationals,Female,Parotid Gland,2
2013,Nationals,Female,Pancreas,1
2013,Nationals,Female,Ovary,8
2013,Nationals,Female,Oropharynx,0
2013,Nationals,Female,Nervous System,0
2013,Nationals,Female,Nasopharynx,0
2013,Nationals,Female,Nasal Cavity,0
2013,Nationals,Female,Mouth,2
2013,Nationals,Female,Lymph Nodes,12
2013,Nationals,Female,Liver,3
2013,Nationals,Female,Lip,0
2013,Nationals,Female,Leukemia,11
2013,Nationals,Female,Larynx,2
2013,Nationals,Female,Kidney,2
2013,Nationals,Female,Ill Defined Sites,0
2013,Nationals,Female,Hypopharynx,0
2013,Nationals,Female,Heart,2
2013,Nationals,Female,Gallbladder,0
2013,Nationals,Female,Female Genital Tract,0
2013,Nationals,Female,Eye,0
2013,Nationals,Female,Esophagus,1
2013,Nationals,Female,Corpus Uteri,6
2013,Nationals,Female,Colorectal,24
2013,Nationals,Female,Cervix Uteri,26
2013,Nationals,Female,Bronchus And Lung,5
2013,Nationals,Female,Breast,45
2013,Nationals,Female,Brain,2
2013,Nationals,Female,Bowel,0
2013,Nationals,Female,Bones,0
2013,Nationals,Female,Bladder,1
2013,Nationals,Female,Biliary Tract,0
2013,Nationals,Female,Autonomic Nervous System,1
2013,Nationals,Female,Adrenal Gland,0
2013,Nationals,Male,Vulva,0
2013,Nationals,Male,Uterus,0
2013,Nationals,Male,Unknown Primary Site,2
2013,Nationals,Male,Tonsil,0
2013,Nationals,Male,Tongue,3
2013,Nationals,Male,Thyroid Gland,7
2013,Nationals,Male,Testis,2
2013,Nationals,Male,Stomach,11
2013,Nationals,Male,Soft Tissues,2
2013,Nationals,Male,Small Intestine,1
2013,Nationals,Male,Skin,10
2013,Nationals,Male,Salivary Gland,0
2013,Nationals,Male,Retroperitoneum And Peritoneum,1
2013,Nationals,Male,Renal Pelvis,0
2013,Nationals,Male,Prostate Gland,13
2013,Nationals,Male,Placenta,0
2013,Nationals,Male,Pharynx,1
2013,Nationals,Male,Parotid Gland,0
2013,Nationals,Male,Pancreas,8
2013,Nationals,Male,Ovary,0
2013,Nationals,Male,Oropharynx,0
2013,Nationals,Male,Nervous System,0
2013,Nationals,Male,Nasopharynx,3
2013,Nationals,Male,Nasal Cavity,1
2013,Nationals,Male,Mouth,0
2013,Nationals,Male,Lymph Nodes,15
2013,Nationals,Male,Liver,8
2013,Nationals,Male,Lip,0
2013,Nationals,Male,Leukemia,20
2013,Nationals,Male,Larynx,4
2013,Nationals,Male,Kidney,6
2013,Nationals,Male,Ill Defined Sites,0
2013,Nationals,Male,Hypopharynx,0
2013,Nationals,Male,Heart,2
2013,Nationals,Male,Gallbladder,2
2013,Nationals,Male,Female Genital Tract,0
2013,Nationals,Male,Eye,1
2013,Nationals,Male,Esophagus,0
2013,Nationals,Male,Corpus Uteri,0
2013,Nationals,Male,Colorectal,17
2013,Nationals,Male,Cervix Uteri,0
2013,Nationals,Male,Bronchus And Lung,12
2013,Nationals,Male,Breast,2
2013,Nationals,Male,Brain,2
2013,Nationals,Male,Bowel,1
2013,Nationals,Male,Bones,0
2013,Nationals,Male,Bladder,12
2013,Nationals,Male,Biliary Tract,2
2013,Nationals,Male,Autonomic Nervous System,0
2013,Nationals,Male,Adrenal Gland,0
2014,Expatriates,Female,Vulva,1
2014,Expatriates,Female,Uterus,2
2014,Expatriates,Female,Ureter,1
2014,Expatriates,Female,Unknown Primary Site,2
2014,Expatriates,Female,Tonsil,1
2014,Expatriates,Female,Tongue,4
2014,Expatriates,Female,Thyroid Gland,100
2014,Expatriates,Female,Stomach,13
2014,Expatriates,Female,Skin,7
2014,Expatriates,Female,Retroperitmoneum And Peritoneum,5
2014,Expatriates,Female,Renal Pelvis,1
2014,Expatriates,Female,Placenta,1
2014,Expatriates,Female,Parotid Gland,1
2014,Expatriates,Female,Pancreas,8
2014,Expatriates,Female,Ovary,21
2014,Expatriates,Female,Other And Ill Defined Sites,4
2014,Expatriates,Female,Nasopharynx,5
2014,Expatriates,Female,Lymph Npdes,11
2014,Expatriates,Female,Lung And Bronchus,8
2014,Expatriates,Female,Liver,4
2014,Expatriates,Female,Leukemia,19
2014,Expatriates,Female,Larynx,1
2014,Expatriates,Female,Kidney,10
2014,Expatriates,Female,Heart,3
2014,Expatriates,Female,Gallbladder,3
2014,Expatriates,Female,Corpus Uteri,27
2014,Expatriates,Female,"Connective, Subcutaneous And Other Soft Tissue",8
2014,Expatriates,Female,Colorectal,55
2014,Expatriates,Female,Cervix Uteri,51
2014,Expatriates,Female,Breast,282
2014,Expatriates,Female,Brain,13
2014,Expatriates,Female,Bones,1
2014,Expatriates,Female,Bladder,3
2014,Expatriates,Male,Unknown Primary Site,11
2014,Expatriates,Male,Tonsil,4
2014,Expatriates,Male,Tongue,7
2014,Expatriates,Male,Thyroid Gland,50
2014,Expatriates,Male,Thymus,3
2014,Expatriates,Male,Testis,20
2014,Expatriates,Male,Stomach,24
2014,Expatriates,Male,Small Intestine,7
2014,Expatriates,Male,Skin,8
2014,Expatriates,Male,Sinus,1
2014,Expatriates,Male,Salivary Gland,1
2014,Expatriates,Male,Retroperitmoneum And Peritoneum,1
2014,Expatriates,Male,Prostate Gland,62
2014,Expatriates,Male,Pharynx,1
2014,Expatriates,Male,Penis,2
2014,Expatriates,Male,Parotid Gland,3
2014,Expatriates,Male,Pancreas,15
2014,Expatriates,Male,Other And Ill Defined Sites,3
2014,Expatriates,Male,Oropharynx,1
2014,Expatriates,Male,Nervous System,2
2014,Expatriates,Male,Nasopharynx,11
2014,Expatriates,Male,Nasal Cavity,3
2014,Expatriates,Male,Mouth,7
2014,Expatriates,Male,Male Genital Tract,2
2014,Expatriates,Male,Lymph Npdes,34
2014,Expatriates,Male,Lung And Bronchus,40
2014,Expatriates,Male,Liver,20
2014,Expatriates,Male,Lip,3
2014,Expatriates,Male,Leukemia,48
2014,Expatriates,Male,Larynx,11
2014,Expatriates,Male,Kidney,33
2014,Expatriates,Male,Hypopharynx,1
2014,Expatriates,Male,Heart,3
2014,Expatriates,Male,Gallbladder,4
2014,Expatriates,Male,Esophagus,10
2014,Expatriates,Male,Endocrine Gland,1
2014,Expatriates,Male,"Connective, Subcutaneous And Other Soft Tissue",13
2014,Expatriates,Male,Colorectal,99
2014,Expatriates,Male,Breast,1
2014,Expatriates,Male,Brain,32
2014,Expatriates,Male,Bones,4
2014,Expatriates,Male,Bladder,41
2014,Expatriates,Male,Adrenal Gland,3
2014,Expatriates,Male,"Accessory Sinus, Nos",3
2014,NA,Female,Corpus Uteri,3
2014,NA,Female,Colorectal,3
2014,NA,Female,Breast,2
2014,NA,Male,Prostate Gland,2
2014,NA,Male,Bladder,2
2014,Nationals,Female,Vulva,1
2014,Nationals,Female,Uterus,3
2014,Nationals,Female,Unknown Primary Site,1
2014,Nationals,Female,Tonsil,1
2014,Nationals,Female,Tongue,1
2014,Nationals,Female,Thyroid Gland,36
2014,Nationals,Female,Stomach,7
2014,Nationals,Female,Small Intestine,3
2014,Nationals,Female,Skin,2
2014,Nationals,Female,Retroperitmoneum And Peritoneum,2
2014,Nationals,Female,Pancreas,2
2014,Nationals,Female,Ovary,7
2014,Nationals,Female,Other And Ill Defined Sites,1
2014,Nationals,Female,Nasopharynx,1
2014,Nationals,Female,Lymph Npdes,11
2014,Nationals,Female,Lung And Bronchus,5
2014,Nationals,Female,Liver,3
2014,Nationals,Female,Leukemia,12
2014,Nationals,Female,Kidney,4
2014,Nationals,Female,Gallbladder,4
2014,Nationals,Female,Corpus Uteri,10
2014,Nationals,Female,"Connective, Subcutaneous And Other Soft Tissue",3
2014,Nationals,Female,Colorectal,23
2014,Nationals,Female,Cervix Uteri,31
2014,Nationals,Female,Breast,75
2014,Nationals,Female,Brain,6
2014,Nationals,Female,Bones,1
2014,Nationals,Female,Bladder,1
2014,Nationals,Female,Autonomic Nervous System,1
2014,Nationals,Male,Unknown Primary Site,3
2014,Nationals,Male,Tonsil,1
2014,Nationals,Male,Tongue,3
2014,Nationals,Male,Thyroid Gland,10
2014,Nationals,Male,Testis,3
2014,Nationals,Male,Stomach,5
2014,Nationals,Male,Small Intestine,1
2014,Nationals,Male,Skin,2
2014,Nationals,Male,Retroperitmoneum And Peritoneum,1
