Year,Age Group,Disease,Nationality,Cases
2011,0-14,Acute Encephalitis,Expatriate,2
2011,0-14,Acute Flaccid Paralysis,Expatriate,9
2011,0-14,Brucellosis,Expatriate,3
2011,0-14,Chickenpox,Expatriate,3288
2011,0-14,Extra Pulmonary Tuberculosis,Expatriate,5
2011,0-14,Giardia Lambia,Expatriate,12
2011,0-14,Gonorrhoea,Expatriate,0
2011,0-14,Malaria,Expatriate,72
2011,0-14,Measles,Expatriate,16
2011,0-14,Mumps,Expatriate,67
2011,0-14,Other,Expatriate,170
2011,0-14,Other Food Poisoning,Expatriate,114
2011,0-14,Other STD,Expatriate,3
2011,0-14,Other Viral Hepatitis,Expatriate,0
2011,0-14,Pulmonary Tuberculosis,Expatriate,5
2011,0-14,Rubella,Expatriate,5
2011,0-14,Scabies,Expatriate,60
2011,0-14,Scarlet  Fever,Expatriate,95
2011,0-14,Seasonal Influenza,Expatriate,57
2011,0-14,Syphilis,Expatriate,0
2011,0-14,Tetanus,Expatriate,0
2011,0-14,Typhoid Fever,Expatriate,44
2011,0-14,Viral Hepatitis A,Expatriate,52
2011,0-14,Viral Hepatitis B,Expatriate,6
2011,0-14,Viral Hepatitis C,Expatriate,6
2011,0-14,Viral Meningitis,Expatriate,11
2011,0-14,Whooping Cough,Expatriate,8
2011,15-34,Acute Encephalitis,Expatriate,1
2011,15-34,Acute Flaccid Paralysis,Expatriate,0
2011,15-34,Brucellosis,Expatriate,19
2011,15-34,Chickenpox,Expatriate,2922
2011,15-34,Extra Pulmonary Tuberculosis,Expatriate,119
2011,15-34,Giardia Lambia,Expatriate,38
2011,15-34,Gonorrhoea,Expatriate,16
2011,15-34,Malaria,Expatriate,1734
2011,15-34,Measles,Expatriate,19
2011,15-34,Mumps,Expatriate,35
2011,15-34,Other,Expatriate,156
2011,15-34,Other Food Poisoning,Expatriate,181
2011,15-34,Other STD,Expatriate,66
2011,15-34,Other Viral Hepatitis,Expatriate,1
2011,15-34,Pulmonary Tuberculosis,Expatriate,210
2011,15-34,Rubella,Expatriate,30
2011,15-34,Scabies,Expatriate,306
2011,15-34,Scarlet  Fever,Expatriate,4
2011,15-34,Seasonal Influenza,Expatriate,41
2011,15-34,Syphilis,Expatriate,29
2011,15-34,Tetanus,Expatriate,3
2011,15-34,Typhoid Fever,Expatriate,199
2011,15-34,Viral Hepatitis A,Expatriate,38
2011,15-34,Viral Hepatitis B,Expatriate,222
2011,15-34,Viral Hepatitis C,Expatriate,160
2011,15-34,Viral Meningitis,Expatriate,11
2011,15-34,Whooping Cough,Expatriate,0
2011,35-54,Acute Encephalitis,Expatriate,4
2011,35-54,Acute Flaccid Paralysis,Expatriate,1
2011,35-54,Brucellosis,Expatriate,15
2011,35-54,Chickenpox,Expatriate,744
2011,35-54,Extra Pulmonary Tuberculosis,Expatriate,34
2011,35-54,Giardia Lambia,Expatriate,15
2011,35-54,Gonorrhoea,Expatriate,7
2011,35-54,Malaria,Expatriate,823
2011,35-54,Measles,Expatriate,1
2011,35-54,Mumps,Expatriate,20
2011,35-54,Other,Expatriate,124
2011,35-54,Other Food Poisoning,Expatriate,94
2011,35-54,Other STD,Expatriate,63
2011,35-54,Other Viral Hepatitis,Expatriate,0
2011,35-54,Pulmonary Tuberculosis,Expatriate,111
2011,35-54,Rubella,Expatriate,3
2011,35-54,Scabies,Expatriate,128
2011,35-54,Scarlet  Fever,Expatriate,1
2011,35-54,Seasonal Influenza,Expatriate,41
2011,35-54,Syphilis,Expatriate,46
2011,35-54,Tetanus,Expatriate,0
2011,35-54,Typhoid Fever,Expatriate,112
2011,35-54,Viral Hepatitis A,Expatriate,5
2011,35-54,Viral Hepatitis B,Expatriate,205
2011,35-54,Viral Hepatitis C,Expatriate,242
2011,35-54,Viral Meningitis,Expatriate,6
2011,35-54,Whooping Cough,Expatriate,0
2011,55-64,Acute Encephalitis,Expatriate,1
2011,55-64,Acute Flaccid Paralysis,Expatriate,0
2011,55-64,Brucellosis,Expatriate,0
2011,55-64,Chickenpox,Expatriate,23
2011,55-64,Extra Pulmonary Tuberculosis,Expatriate,4
2011,55-64,Giardia Lambia,Expatriate,2
2011,55-64,Gonorrhoea,Expatriate,1
2011,55-64,Malaria,Expatriate,98
2011,55-64,Measles,Expatriate,0
2011,55-64,Mumps,Expatriate,1
2011,55-64,Other,Expatriate,15
2011,55-64,Other Food Poisoning,Expatriate,7
2011,55-64,Other STD,Expatriate,9
2011,55-64,Other Viral Hepatitis,Expatriate,0
2011,55-64,Pulmonary Tuberculosis,Expatriate,22
2011,55-64,Rubella,Expatriate,0
2011,55-64,Scabies,Expatriate,16
2011,55-64,Scarlet  Fever,Expatriate,0
2011,55-64,Seasonal Influenza,Expatriate,7
2011,55-64,Syphilis,Expatriate,5
2011,55-64,Tetanus,Expatriate,0
2011,55-64,Typhoid Fever,Expatriate,3
2011,55-64,Viral Hepatitis A,Expatriate,1
2011,55-64,Viral Hepatitis B,Expatriate,30
2011,55-64,Viral Hepatitis C,Expatriate,75
2011,55-64,Viral Meningitis,Expatriate,1
2011,55-64,Whooping Cough,Expatriate,0
2011,65+,Acute Encephalitis,Expatriate,0
2011,65+,Acute Flaccid Paralysis,Expatriate,0
2011,65+,Brucellosis,Expatriate,0
2011,65+,Chickenpox,Expatriate,3
2011,65+,Extra Pulmonary Tuberculosis,Expatriate,1
2011,65+,Giardia Lambia,Expatriate,2
2011,65+,Gonorrhoea,Expatriate,0
2011,65+,Malaria,Expatriate,2
2011,65+,Measles,Expatriate,0
2011,65+,Mumps,Expatriate,0
2011,65+,Other,Expatriate,6
2011,65+,Other Food Poisoning,Expatriate,0
2011,65+,Other STD,Expatriate,0
2011,65+,Other Viral Hepatitis,Expatriate,0
2011,65+,Pulmonary Tuberculosis,Expatriate,5
2011,65+,Rubella,Expatriate,0
2011,65+,Scabies,Expatriate,3
2011,65+,Scarlet  Fever,Expatriate,0
2011,65+,Seasonal Influenza,Expatriate,1
2011,65+,Syphilis,Expatriate,0
2011,65+,Tetanus,Expatriate,0
