Year,Sector,Facility Region,Facility Type Group,Facility Reporting Name,National Expatriate,Inpatient Outpatient,ER,Episodes Count
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Knee And Sports Medicine Centre,Expatriate,Inpatient,Non ER,253
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Knee And Sports Medicine Centre,Expatriate,Outpatient,Non ER,787
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Knee And Sports Medicine Centre,N/A,Inpatient,Non ER,51
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Knee And Sports Medicine Centre,N/A,Outpatient,Non ER,211
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Knee And Sports Medicine Centre,National,Inpatient,Non ER,718
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Knee And Sports Medicine Centre,National,Outpatient,Non ER,2002
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Marine Operating Company Clinic,N/A,Outpatient,Non ER,27495
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Medical Centre,Expatriate,Outpatient,Non ER,5138
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Medical Centre,N/A,Outpatient,Non ER,215
2011,Private,Abu Dhabi,Centres (various),Abu Dhabi Medical Centre,National,Outpatient,Non ER,145
2011,Private,Abu Dhabi,Centres (various),Abu Salaman Medical Centre,Expatriate,Outpatient,Non ER,7431
2011,Private,Abu Dhabi,Centres (various),Abu Salaman Medical Centre,N/A,Outpatient,Non ER,387
2011,Private,Abu Dhabi,Centres (various),Abu Salaman Medical Centre,National,Outpatient,Non ER,1198
2011,Private,Abu Dhabi,Centres (various),Adams Medical Centre,Expatriate,Inpatient,Non ER,8
2011,Private,Abu Dhabi,Centres (various),Adams Medical Centre,Expatriate,Outpatient,Non ER,5454
2011,Private,Abu Dhabi,Centres (various),Adams Medical Centre,N/A,Outpatient,Non ER,1138
2011,Private,Abu Dhabi,Centres (various),Adams Medical Centre,National,Outpatient,Non ER,7146
2011,Private,Abu Dhabi,Centres (various),Adco Medical Centre,N/A,Outpatient,Non ER,27495
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,Expatriate,Inpatient,Non ER,84
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,Expatriate,Outpatient,Non ER,14125
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,N/A,Inpatient,Non ER,27
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,N/A,Inpatient,ER,2
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,N/A,Outpatient,Non ER,4416
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,National,Inpatient,Non ER,98
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,National,Inpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,National,Outpatient,Non ER,16062
2011,Private,Abu Dhabi,Centres (various),Advance Cure Diagnostic Centre,National,Outpatient,ER,2
2011,Private,Abu Dhabi,Centres (various),Advanced American Dental Centre,N/A,Outpatient,Non ER,16497
2011,Private,Abu Dhabi,Centres (various),Al Ahali Medical Centre,Expatriate,Outpatient,Non ER,1962
2011,Private,Abu Dhabi,Centres (various),Al Ahali Medical Centre,N/A,Outpatient,Non ER,2492
2011,Private,Abu Dhabi,Centres (various),Al Ahali Medical Centre,National,Outpatient,Non ER,1044
