ReportingYear,Sector,License#,TYPEFACILITY,FACILITY_SUBTYPE,Facility Type Group,FacilityLicenseIssueYear,FacilityName,FacilityRegion
2011,Private,MF104,Hospital,General Hospital,Hospital,2001,EMIRATES FRENCH HOSPITAL L.L.C,Abu Dhabi
2011,Public,MF1079,Hospital,Specialized Hospital,Hospital,2008,CORNICHE HOSPITAL.,Abu Dhabi
2011,Private,MF118,Hospital,General Hospital,Hospital,1986,AL NOOR  MEDICAL COMPANY - AL NOOR  HOSPITAL,Abu Dhabi
2011,Private,MF131,Hospital,General Hospital,Hospital,1995,AL SALAMA HOSPITAL,Abu Dhabi
2011,Private,MF1751,Hospital,General Hospital,Hospital,2004,AL REEF INTERNAIONAL HOSPITAL,Abu Dhabi
2011,Private,MF1954,Hospital,General Hospital,Hospital,2007,LIFE LINE HOSPITAL L.L.C,Abu Dhabi
2011,Public,MF2003,Hospital,General Hospital,Hospital,2007,AL RAHBA HOSPITAL,Abu Dhabi
2011,Public,MF2006,Hospital,General Hospital,Hospital,2007,AL MAFRAQ HOSPITAL,Abu Dhabi
2011,Public,MF2007,Hospital,General Hospital,Hospital,2007,SHEIKH KHALIFA MEDICAL CITY,Abu Dhabi
2011,Private,MF213,Hospital,General Hospital,Hospital,1999,DAR AL SHIFA HOSPITAL L.L.C,Abu Dhabi
2011,Private,MF2222,Hospital,General Hospital,Hospital,2008,LIFE LINE HOSPITAL AL MUSAFAH L.L.C.,Abu Dhabi
2011,Private,MF2270,Hospital,General Hospital,Hospital,2008,ALNOOR MEDICAL COMPANY - AL NOOR HOSPITAL - LLC BRANCH,Abu Dhabi
2011,Private,MF23,Hospital,General Hospital,Hospital,1994,AL AHLI  HOSPITAL COMPANY - WLL,Abu Dhabi
2011,Public,MF2351,Hospital,General Hospital,Hospital,2008,ZAYED MILITARY HOSPITAL,Abu Dhabi
2011,Private,MF254,Hospital,General Hospital,Hospital,1993,AL RAHA HOSPITAL LLC,Abu Dhabi
2011,Private,MF772,Hospital,General Hospital,Hospital,2005,NATIONAL HOSPITAL – L.L.C,Abu Dhabi
2011,Private,MF687,Hospital,General Hospital,Hospital,1998,GULF DIAGNOSTIC CENTER HOSPITAL- W L L,Abu Dhabi
2011,Private,MF394,Hospital,General Hospital,Hospital,1990,N M C SPECIALTY HOSPITAL - LLC,Abu Dhabi
